Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies
5,0.0,1000,128,872,9,4,2601,5746,8347,4.488
5,0.05,1000,117,883,8,2,2615,5754,8369,4.556
5,0.1,1000,126,874,10,4,2659,5745,8404,4.505
5,0.15,1000,99,901,13,0,2495,5801,8296,4.317
5,0.2,1000,123,877,18,4,2610,5757,8367,4.321
5,0.25,1000,95,905,18,5,2546,5793,8339,4.355
5,0.3,1000,94,906,22,5,2555,5814,8369,4.308
5,0.35,1000,104,896,20,3,2648,5786,8434,4.265
5,0.4,1000,106,894,24,0,2527,5784,8311,4.118
5,0.45,1000,108,892,35,4,2548,5750,8298,3.917
5,0.5,1000,101,899,29,3,2555,5780,8335,3.894
5,0.55,1000,86,914,68,3,2498,5777,8275,3.393
5,0.6,1000,69,931,76,8,2395,5775,8170,3.162
5,0.65,1000,90,910,77,6,2443,5735,8178,3.075
5,0.7,1000,69,931,102,3,2461,5719,8180,2.974
5,0.75,1000,65,935,113,3,2401,5735,8136,2.859
5,0.8,1000,58,942,110,7,2351,5759,8110,2.819
5,0.85,1000,69,931,119,5,2403,5731,8134,2.775
5,0.9,1000,54,946,138,2,2351,5716,8067,2.65
5,0.95,1000,49,951,169,6,2318,5687,8005,2.516
5,1.0,1000,57,943,155,6,2293,5690,7983,2.53
5,1.05,1000,64,936,206,5,2318,5600,7918,2.411
5,1.1,1000,70,930,201,4,2380,5595,7975,2.282
5,1.15,1000,55,945,210,7,2318,5610,7928,2.226
5,1.2,1000,67,933,204,10,2319,5590,7909,2.225
5,1.25,1000,47,953,236,8,2306,5582,7888,2.16
5,1.3,1000,68,932,228,4,2291,5571,7862,2.087
5,1.35,1000,64,936,248,10,2263,5542,7805,1.987
5,1.4,1000,60,940,218,4,2308,5604,7912,2.019
5,1.45,1000,54,946,255,8,2218,5564,7782,1.995
5,1.5,1000,79,921,272,7,2299,5476,7775,1.883
5,1.55,1000,61,939,291,18,2266,5470,7736,1.774
5,1.6,1000,54,946,266,10,2218,5531,7749,1.76
5,1.65,1000,55,945,295,10,2261,5480,7741,1.674
5,1.7,1000,63,937,305,12,2249,5468,7717,1.678
5,1.75,1000,51,949,318,10,2200,5452,7652,1.64
5,1.8,1000,61,939,325,11,2215,5438,7653,1.694
5,1.85,1000,51,949,284,8,2175,5511,7686,1.527
5,1.9,1000,58,942,304,15,2196,5452,7648,1.478
5,1.95,1000,56,944,317,19,2170,5465,7635,1.544
5,2.0,1000,49,951,328,10,2199,5431,7630,1.584
6,0.0,1000,96,904,22,1,2653,5823,8476,3.649
6,0.05,1000,78,922,22,1,2656,5846,8502,3.692
6,0.1,1000,93,907,33,3,2601,5782,8383,3.608
6,0.15,1000,78,922,43,3,2693,5819,8512,3.655
6,0.2,1000,87,913,42,0,2617,5796,8413,3.568
6,0.25,1000,102,898,53,1,2636,5739,8375,3.176
6,0.3,1000,164,836,42,5,2988,5548,8536,2.411
6,0.35,1000,185,815,71,12,3026,5481,8507,2.275
6,0.4,1000,180,820,63,10,3099,5509,8608,2.314
6,0.45,1000,189,811,76,8,3040,5433,8473,2.195
6,0.5,1000,198,802,65,13,3008,5468,8476,2.161
6,0.55,1000,171,829,84,4,2968,5499,8467,2.108
6,0.6,1000,180,820,93,13,3011,5456,8467,1.97
6,0.65,1000,191,809,92,20,3057,5436,8493,1.806
6,0.7,1000,196,804,147,21,3003,5347,8350,1.722
6,0.75,1000,181,819,133,11,2948,5363,8311,1.729
6,0.8,1000,173,827,160,16,2952,5348,8300,1.463
6,0.85,1000,202,798,157,23,3018,5304,8322,1.546
6,0.9,1000,194,806,157,21,2988,5331,8319,1.381
6,0.95,1000,215,785,173,28,3002,5236,8238,1.228
6,1.0,1000,205,795,217,27,3018,5205,8223,1.161
6,1.05,1000,200,800,193,32,2970,5261,8231,1.148
6,1.1,1000,212,788,192,18,3002,5220,8222,1.022
6,1.15,1000,185,815,206,25,2964,5262,8226,0.996
6,1.2,1000,180,820,225,29,2842,5254,8096,1.032
6,1.25,1000,208,792,202,31,2935,5208,8143,0.96
6,1.3,1000,224,776,211,45,2970,5161,8131,0.98
6,1.35,1000,221,779,244,39,3019,5150,8169,0.895
6,1.4,1000,197,803,251,38,2907,5174,8081,0.816
6,1.45,1000,208,792,239,37,2975,5146,8121,0.887
6,1.5,1000,218,782,243,40,2964,5128,8092,0.857
6,1.55,1000,235,765,246,36,3051,5056,8107,0.713
6,1.6,1000,220,780,266,33,3014,5089,8103,0.776
6,1.65,1000,209,791,243,36,2954,5149,8103,0.784
6,1.7,1000,220,780,250,36,2952,5131,8083,0.766
6,1.75,1000,215,785,262,41,2941,5122,8063,0.763
6,1.8,1000,226,774,233,40,2972,5098,8070,0.796
6,1.85,1000,230,770,262,28,3029,5062,8091,0.7
6,1.9,1000,211,789,288,36,3009,5080,8089,0.728
6,1.95,1000,239,761,246,46,3047,5086,8133,0.706
6,2.0,1000,201,799,299,33,2955,5084,8039,0.646
7,0.0,1000,175,825,7,8,2838,5628,8466,4.44
7,0.05,1000,176,824,2,1,2804,5618,8422,4.331
7,0.1,1000,151,849,7,1,2748,5636,8384,4.274
7,0.15,1000,181,819,2,0,2889,5592,8481,4.175
7,0.2,1000,155,845,18,1,2792,5651,8443,4.074
7,0.25,1000,168,832,15,6,2797,5561,8358,3.981
7,0.3,1000,184,816,21,3,2857,5555,8412,3.854
7,0.35,1000,187,813,32,2,2896,5532,8428,3.772
7,0.4,1000,158,842,30,1,2768,5583,8351,3.884
7,0.45,1000,156,844,26,2,2749,5629,8378,3.816
7,0.5,1000,155,845,40,5,2763,5587,8350,3.497
7,0.55,1000,129,871,50,5,2668,5630,8298,3.112
7,0.6,1000,126,874,54,2,2628,5612,8240,2.845
7,0.65,1000,115,885,76,2,2592,5612,8204,2.6
7,0.7,1000,104,896,69,2,2589,5656,8245,2.523
7,0.75,1000,94,906,94,3,2539,5635,8174,2.345
7,0.8,1000,92,908,108,7,2524,5624,8148,2.321
7,0.85,1000,72,928,118,5,2389,5662,8051,2.192
7,0.9,1000,75,925,135,4,2563,5629,8192,2.116
7,0.95,1000,89,911,120,3,2502,5657,8159,2.251
7,1.0,1000,84,916,122,3,2378,5630,8008,2.072
7,1.05,1000,89,911,168,4,2497,5542,8039,1.808
7,1.1,1000,70,930,173,5,2418,5603,8021,1.8
7,1.15,1000,81,919,163,3,2391,5582,7973,1.758
7,1.2,1000,67,933,176,2,2421,5592,8013,1.708
7,1.25,1000,78,922,171,4,2438,5589,8027,1.599
7,1.3,1000,72,928,161,4,2386,5613,7999,1.516
7,1.35,1000,69,931,168,5,2358,5587,7945,1.693
7,1.4,1000,91,909,210,8,2459,5469,7928,1.563
7,1.45,1000,83,917,194,3,2419,5492,7911,1.463
7,1.5,1000,68,932,204,3,2270,5563,7833,1.576
7,1.55,1000,93,907,194,6,2435,5513,7948,1.441
7,1.6,1000,75,925,220,6,2343,5489,7832,1.498
7,1.65,1000,79,921,183,6,2358,5551,7909,1.525
7,1.7,1000,87,913,207,6,2371,5502,7873,1.518
7,1.75,1000,78,922,218,7,2357,5499,7856,1.437
7,1.8,1000,90,910,204,9,2381,5502,7883,1.422
7,1.85,1000,90,910,234,9,2401,5444,7845,1.422
7,1.9,1000,90,910,236,7,2382,5438,7820,1.43
7,1.95,1000,83,917,225,11,2348,5484,7832,1.384
7,2.0,1000,98,902,208,2,2427,5457,7884,1.411
8,0.0,1000,114,886,1,3,2804,5811,8615,4.581
8,0.05,1000,129,871,3,0,2890,5780,8670,4.576
8,0.1,1000,114,886,0,1,2813,5803,8616,4.542
8,0.15,1000,128,872,3,0,2882,5787,8669,4.603
8,0.2,1000,157,843,6,0,2927,5683,8610,4.002
8,0.25,1000,295,705,18,3,3352,5280,8632,2.605
8,0.3,1000,265,735,21,4,3284,5339,8623,2.498
8,0.35,1000,289,711,29,7,3308,5306,8614,2.435
8,0.4,1000,298,702,30,9,3333,5242,8575,2.389
8,0.45,1000,244,756,35,5,3149,5371,8520,2.275
8,0.5,1000,255,745,52,4,3237,5299,8536,2.112
8,0.55,1000,254,746,73,9,3224,5318,8542,1.901
8,0.6,1000,258,742,87,7,3228,5263,8491,1.699
8,0.65,1000,241,759,103,9,3163,5259,8422,1.55
8,0.7,1000,219,781,123,9,3135,5299,8434,1.52
8,0.75,1000,221,779,149,5,3180,5228,8408,1.4
8,0.8,1000,207,793,130,5,3102,5316,8418,1.28
8,0.85,1000,227,773,128,10,3084,5255,8339,1.283
8,0.9,1000,214,786,141,5,3093,5273,8366,1.196
8,0.95,1000,202,798,148,6,3031,5281,8312,1.18
8,1.0,1000,195,805,188,16,2990,5290,8280,1.065
8,1.05,1000,217,783,188,5,3104,5207,8311,0.883
8,1.1,1000,214,786,193,15,3087,5245,8332,0.951
8,1.15,1000,223,777,214,15,3077,5136,8213,0.939
8,1.2,1000,239,761,216,20,3188,5125,8313,0.869
8,1.25,1000,234,766,188,13,3120,5177,8297,0.899
8,1.3,1000,204,796,206,11,3027,5169,8196,0.801
