Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
5,1.0,1000,284,716,328,27,3048,4610,7658,1.85,0,0,0,0,0,0
5,1.0,1000,452,548,281,24,3768,4150,7918,1.424,0,0,0,0,0,1
5,1.0,1000,351,649,335,22,3467,4420,7887,1.501,0,0,0,0,1,0
5,1.0,1000,540,460,262,37,4063,3949,8012,1.014,0,0,0,0,1,1
5,1.0,1000,338,662,327,22,3315,4484,7799,1.678,0,0,0,1,0,0
5,1.0,1000,413,587,308,30,3661,4267,7928,1.412,0,0,0,1,0,1
5,1.0,1000,440,560,319,23,3807,4113,7920,1.267,0,0,0,1,1,0
5,1.0,1000,583,417,260,39,4185,3791,7976,0.938,0,0,0,1,1,1
5,1.0,1000,216,784,314,6,2584,4789,7373,2.226,0,0,1,0,0,0
5,1.0,1000,386,614,255,22,3413,4413,7826,1.726,0,0,1,0,0,1
5,1.0,1000,309,691,307,17,3226,4568,7794,1.807,0,0,1,0,1,0
5,1.0,1000,477,523,255,26,3861,4100,7961,1.253,0,0,1,0,1,1
5,1.0,1000,241,759,328,16,2813,4768,7581,2.22,0,0,1,1,0,0
5,1.0,1000,415,585,287,25,3497,4262,7759,1.584,0,0,1,1,0,1
5,1.0,1000,357,643,354,18,3503,4293,7796,1.55,0,0,1,1,1,0
5,1.0,1000,500,500,278,27,3982,3992,7974,1.192,0,0,1,1,1,1
5,1.0,1000,137,863,343,22,2701,5196,7897,1.871,0,1,0,0,0,0
5,1.0,1000,142,858,315,28,2916,5189,8105,1.759,0,1,0,0,0,1
5,1.0,1000,249,751,356,25,3261,4805,8066,1.53,0,1,0,0,1,0
5,1.0,1000,264,736,365,44,3412,4770,8182,1.264,0,1,0,0,1,1
5,1.0,1000,264,736,377,23,3292,4754,8046,1.592,0,1,0,1,0,0
5,1.0,1000,354,646,311,42,3692,4645,8337,1.4,0,1,0,1,0,1
5,1.0,1000,430,570,349,17,3854,4130,7984,1.066,0,1,0,1,1,0
5,1.0,1000,518,482,283,33,4154,4023,8177,0.963,0,1,0,1,1,1
5,1.0,1000,97,903,277,13,2332,5357,7689,2.333,0,1,1,0,0,0
5,1.0,1000,114,886,277,16,2610,5282,7892,2.055,0,1,1,0,0,1
5,1.0,1000,167,833,365,14,3026,4991,8017,1.901,0,1,1,0,1,0
5,1.0,1000,230,770,327,31,3178,4884,8062,1.623,0,1,1,0,1,1
5,1.0,1000,200,800,315,19,2854,5013,7867,2.176,0,1,1,1,0,0
5,1.0,1000,230,770,295,22,3170,4965,8135,1.991,0,1,1,1,0,1
5,1.0,1000,371,629,319,19,3591,4334,7925,1.481,0,1,1,1,1,0
5,1.0,1000,445,555,255,25,3868,4283,8151,1.248,0,1,1,1,1,1
5,1.0,1000,281,719,335,23,3060,4613,7673,1.837,1,0,0,0,0,0
5,1.0,1000,410,590,311,20,3659,4200,7859,1.377,1,0,0,0,0,1
5,1.0,1000,358,642,345,25,3495,4313,7808,1.464,1,0,0,0,1,0
5,1.0,1000,522,478,288,45,4025,3962,7987,0.932,1,0,0,0,1,1
5,1.0,1000,328,672,336,18,3308,4516,7824,1.72,1,0,0,1,0,0
5,1.0,1000,437,563,323,29,3754,4156,7910,1.377,1,0,0,1,0,1
5,1.0,1000,437,563,328,22,3815,4095,7910,1.275,1,0,0,1,1,0
5,1.0,1000,618,382,225,28,4289,3699,7988,0.946,1,0,0,1,1,1
5,1.0,1000,227,773,295,10,2699,4807,7506,2.347,1,0,1,0,0,0
5,1.0,1000,394,606,262,20,3328,4316,7644,1.623,1,0,1,0,0,1
5,1.0,1000,305,695,328,21,3253,4506,7759,1.704,1,0,1,0,1,0
5,1.0,1000,497,503,248,38,3905,4129,8034,1.175,1,0,1,0,1,1
5,1.0,1000,251,749,305,14,2870,4752,7622,2.211,1,0,1,1,0,0
5,1.0,1000,367,633,290,17,3317,4408,7725,1.73,1,0,1,1,0,1
5,1.0,1000,375,625,329,29,3430,4310,7740,1.522,1,0,1,1,1,0
5,1.0,1000,531,469,259,28,4018,3917,7935,1.094,1,0,1,1,1,1
5,1.0,1000,138,862,368,26,2703,5113,7816,1.851,1,1,0,0,0,0
5,1.0,1000,159,841,340,29,2942,5110,8052,1.619,1,1,0,0,0,1
5,1.0,1000,235,765,380,32,3287,4801,8088,1.473,1,1,0,0,1,0
5,1.0,1000,257,743,367,39,3408,4737,8145,1.222,1,1,0,0,1,1
5,1.0,1000,232,768,384,17,3275,4815,8090,1.599,1,1,0,1,0,0
5,1.0,1000,347,653,332,33,3685,4594,8279,1.393,1,1,0,1,0,1
5,1.0,1000,428,572,316,22,3811,4191,8002,1.198,1,1,0,1,1,0
5,1.0,1000,510,490,275,29,4124,4003,8127,0.89,1,1,0,1,1,1
5,1.0,1000,72,928,307,15,2280,5366,7646,2.335,1,1,1,0,0,0
5,1.0,1000,104,896,278,25,2551,5326,7877,2.051,1,1,1,0,0,1
5,1.0,1000,171,829,364,17,2936,4981,7917,1.842,1,1,1,0,1,0
5,1.0,1000,213,787,344,29,3130,4888,8018,1.588,1,1,1,0,1,1
5,1.0,1000,176,824,328,15,2776,5060,7836,2.223,1,1,1,1,0,0
5,1.0,1000,208,792,302,26,3158,5029,8187,1.912,1,1,1,1,0,1
5,1.0,1000,349,651,315,19,3513,4442,7955,1.507,1,1,1,1,1,0
5,1.0,1000,439,561,257,34,3877,4242,8119,1.269,1,1,1,1,1,1
5,1.0,1000,163,837,241,14,2899,5279,8178,1.906,2,0,0,0,0,0
5,1.0,1000,181,819,287,22,3057,5131,8188,1.794,2,0,0,0,0,1
5,1.0,1000,230,770,262,29,3245,5006,8251,1.369,2,0,0,0,1,0
5,1.0,1000,295,705,282,40,3549,4796,8345,1.14,2,0,0,0,1,1
5,1.0,1000,221,779,224,16,3185,5126,8311,1.748,2,0,0,1,0,0
5,1.0,1000,255,745,290,18,3368,4946,8314,1.541,2,0,0,1,0,1
5,1.0,1000,379,621,251,29,3720,4584,8304,1.191,2,0,0,1,1,0
5,1.0,1000,440,560,241,28,3926,4427,8353,0.958,2,0,0,1,1,1
5,1.0,1000,84,916,177,12,2503,5549,8052,2.334,2,0,1,0,0,0
5,1.0,1000,151,849,260,11,2743,5210,7953,2.075,2,0,1,0,0,1
5,1.0,1000,195,805,227,17,3057,5147,8204,1.76,2,0,1,0,1,0
5,1.0,1000,279,721,279,34,3405,4826,8231,1.4,2,0,1,0,1,1
5,1.0,1000,129,871,186,10,2691,5425,8116,2.145,2,0,1,1,0,0
5,1.0,1000,173,827,291,16,2913,5132,8045,2.001,2,0,1,1,0,1
5,1.0,1000,286,714,236,21,3383,4832,8215,1.436,2,0,1,1,1,0
5,1.0,1000,373,627,272,27,3685,4515,8200,1.159,2,0,1,1,1,1
5,1.0,1000,97,903,181,17,2689,5546,8235,2.14,2,1,0,0,0,0
5,1.0,1000,116,884,233,18,2773,5402,8175,1.889,2,1,0,0,0,1
5,1.0,1000,204,796,249,19,3184,5134,8318,1.604,2,1,0,0,1,0
5,1.0,1000,236,764,255,30,3244,5069,8313,1.308,2,1,0,0,1,1
5,1.0,1000,221,779,230,13,3206,5124,8330,1.746,2,1,0,1,0,0
5,1.0,1000,287,713,258,24,3466,4928,8394,1.359,2,1,0,1,0,1
5,1.0,1000,444,556,220,20,3870,4344,8214,1.108,2,1,0,1,1,0
5,1.0,1000,494,506,218,28,4033,4254,8287,0.872,2,1,0,1,1,1
5,1.0,1000,61,939,168,6,2348,5672,8020,2.521,2,1,1,0,0,0
5,1.0,1000,70,930,197,8,2379,5580,7959,2.208,2,1,1,0,0,1
5,1.0,1000,161,839,236,13,2877,5260,8137,1.769,2,1,1,0,1,0
5,1.0,1000,191,809,247,33,2927,5168,8095,1.503,2,1,1,0,1,1
5,1.0,1000,144,856,179,7,2748,5402,8150,2.28,2,1,1,1,0,0
5,1.0,1000,185,815,191,9,3041,5330,8371,2.004,2,1,1,1,0,1
5,1.0,1000,373,627,209,13,3595,4576,8171,1.301,2,1,1,1,1,0
