Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
5,1.0,1000,268,732,316,22,3037,4703,7740,1.904,0,0,0,0,0,0
5,1.0,1000,424,576,307,27,3644,4192,7836,1.374,0,0,0,0,0,1
5,1.0,1000,344,656,345,24,3497,4426,7923,1.481,0,0,0,0,1,0
5,1.0,1000,525,475,260,42,4029,4033,8062,1.017,0,0,0,0,1,1
5,1.0,1000,324,676,332,23,3348,4477,7825,1.811,0,0,0,1,0,0
5,1.0,1000,465,535,271,31,3800,4163,7963,1.455,0,0,0,1,0,1
5,1.0,1000,474,526,305,30,3835,4015,7850,1.265,0,0,0,1,1,0
5,1.0,1000,598,402,240,38,4245,3728,7973,0.89,0,0,0,1,1,1
5,1.0,1000,230,770,312,8,2687,4772,7459,2.104,0,0,1,0,0,0
5,1.0,1000,389,611,264,20,3375,4370,7745,1.749,0,0,1,0,0,1
5,1.0,1000,318,682,313,17,3244,4521,7765,1.757,0,0,1,0,1,0
5,1.0,1000,478,522,275,33,3827,4105,7932,1.208,0,0,1,0,1,1
5,1.0,1000,248,752,321,18,2823,4685,7508,2.023,0,0,1,1,0,0
5,1.0,1000,383,617,281,15,3454,4359,7813,1.697,0,0,1,1,0,1
5,1.0,1000,348,652,358,19,3418,4377,7795,1.458,0,0,1,1,1,0
5,1.0,1000,508,492,255,26,3975,4011,7986,1.152,0,0,1,1,1,1
5,1.0,1000,131,869,369,21,2756,5147,7903,1.922,0,1,0,0,0,0
5,1.0,1000,161,839,319,23,3021,5151,8172,1.784,0,1,0,0,0,1
5,1.0,1000,218,782,413,32,3221,4784,8005,1.518,0,1,0,0,1,0
5,1.0,1000,296,704,322,30,3502,4742,8244,1.322,0,1,0,0,1,1
5,1.0,1000,285,715,355,26,3311,4712,8023,1.553,0,1,0,1,0,0
5,1.0,1000,365,635,329,29,3743,4580,8323,1.415,0,1,0,1,0,1
5,1.0,1000,462,538,323,26,3864,4097,7961,1.084,0,1,0,1,1,0
