Players,Adjust factor,Games,Liberal wins,Fascist wins,HC wins,HS wins,L Policies,F Policies,Total Policies,Average Anarchies,FCC,HCC,LCPC,HCPC,HCCC,HV
5,1.0,1000,285,715,326,20,3067,4627,7694,1.851,0,0,0,0,0,0
5,1.0,1000,412,588,297,39,3642,4321,7963,1.504,0,0,0,0,0,1
5,1.0,1000,382,618,337,28,3534,4312,7846,1.513,0,0,0,0,1,0
5,1.0,1000,532,468,261,32,4047,3981,8028,0.975,0,0,0,0,1,1
5,1.0,1000,324,676,344,25,3308,4525,7833,1.692,0,0,0,1,0,0
5,1.0,1000,494,506,280,43,3821,4073,7894,1.318,0,0,0,1,0,1
5,1.0,1000,478,522,297,31,3804,4019,7823,1.212,0,0,0,1,1,0
5,1.0,1000,593,407,254,34,4235,3762,7997,0.887,0,0,0,1,1,1
5,1.0,1000,215,785,332,11,2566,4788,7354,2.159,0,0,1,0,0,0
5,1.0,1000,391,609,269,18,3414,4369,7783,1.777,0,0,1,0,0,1
5,1.0,1000,331,669,334,23,3304,4439,7743,1.65,0,0,1,0,1,0
5,1.0,1000,461,539,258,28,3840,4188,8028,1.333,0,0,1,0,1,1
5,1.0,1000,256,744,302,14,2863,4774,7637,2.056,0,0,1,1,0,0
5,1.0,1000,382,618,276,16,3406,4392,7798,1.788,0,0,1,1,0,1
5,1.0,1000,357,643,343,33,3426,4344,7770,1.523,0,0,1,1,1,0
5,1.0,1000,524,476,256,40,3994,4019,8013,1.245,0,0,1,1,1,1
5,1.0,1000,107,893,369,25,2623,5220,7843,1.953,0,1,0,0,0,0
5,1.0,1000,180,820,330,32,3006,5114,8120,1.692,0,1,0,0,0,1
5,1.0,1000,261,739,349,33,3317,4824,8141,1.613,0,1,0,0,1,0
5,1.0,1000,282,718,357,34,3470,4707,8177,1.33,0,1,0,0,1,1
5,1.0,1000,261,739,349,30,3251,4789,8040,1.69,0,1,0,1,0,0
5,1.0,1000,347,653,299,42,3653,4660,8313,1.423,0,1,0,1,0,1
